年,生产厂家,新编码,新名称,新规格型号,客户名称,销售数量,销售含税总价,采购含税总价,采购含税单价,销售含税单价,返利金额,总毛利,大类,地区,毛利率
2018年,雅培心血管Abbott Vascular,10057086,药物洗脱冠脉支架系统,1011709-18,昆明医科大学第二附属医院,1,16500,10835.76,10835.76,16500,1237.51,6901.75,支架,云南,41.83%
2018年,雅培心血管Abbott Vascular,10351097,药物洗脱冠脉支架系统,1011709-33,云南省第一人民医院,1,13800,10835.76,10835.76,13800,1035.01,3999.25,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10351098,药物洗脱冠脉支架系统,1011709-38,云南省第一人民医院,1,11607.67,10835.63,10835.62792,11607.67,870.58,1642.63,支架,云南,14.15%
2018年,雅培心血管Abbott Vascular,10351099,药物洗脱冠脉支架系统,1011710-33,云南省第一人民医院,1,27600,10835.76,10835.76,27600,2070.02,18834.26,支架,云南,68.24%
2018年,雅培心血管Abbott Vascular,10351104,药物洗脱冠脉支架系统,1011707-12,云南省第一人民医院,1,16500,10835.76,10835.76,16500,1237.51,6901.75,支架,云南,41.83%
2018年,雅培心血管Abbott Vascular,10351113,药物洗脱冠脉支架系统,1011708-23,云南省第一人民医院,1,16500,10835.76,10835.76,16500,1237.51,6901.75,支架,云南,41.83%
2018年,雅培心血管Abbott Vascular,10351116,药物洗脱冠脉支架系统,1011709-12,云南省第一人民医院,1,16500,10835.76,10835.76,16500,1237.51,6901.75,支架,云南,41.83%
2018年,雅培心血管Abbott Vascular,10351118,药物洗脱冠脉支架系统,1011709-23,云南省第一人民医院,1,13800,11085.59,11085.58581,13800,1035.01,3749.42,支架,云南,27.17%
2018年,雅培心血管Abbott Vascular,10351119,药物洗脱冠脉支架系统,1011709-28,云南省第一人民医院,1,16500,10835.76,10835.76,16500,1237.51,6901.75,支架,云南,41.83%
2018年,雅培心血管Abbott Vascular,10351123,药物洗脱冠脉支架系统,1011710-18,昆明医科大学第二附属医院,1,16500,10835.76,10835.76,16500,1237.51,6901.75,支架,云南,41.83%
2018年,雅培心血管Abbott Vascular,10351123,药物洗脱冠脉支架系统,1011710-18,曲靖市第二人民医院,1,13800,10835.76,10835.76,13800,1035.01,3999.25,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10351127,药物洗脱冠脉支架系统,1011711-18,云南省第一人民医院,1,13800,10016.11,10016.11333,13800,1035.01,4818.9,支架,云南,34.92%
2018年,乐普(北京)医疗器械股份有限公司,12903359,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2512,曲靖市第二人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
